Time(s),Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular Momentum X (dps),Angular Momentum Y (dps),Angular Momentum Z (dps)
0.000143,0.015625,1.001343,-0.115723,0.782013,1.575470,-1.148224
0.000275,0.013428,0.997559,-0.117188,-0.392914,-0.396729,0.762939
0.000376,0.014160,0.997192,-0.119629,-0.392914,0.785828,-0.766754
0.000567,0.014526,1.001221,-0.124634,-1.564026,-1.972198,0.381470
0.000663,0.010742,0.997925,-0.125122,1.564026,0.785828,-0.766754
0.000815,0.012207,0.995239,-0.121094,-0.392914,-1.972198,-1.529694
0.000962,0.014648,0.997925,-0.121216,-0.392914,0.000000,-0.766754
0.001109,0.013184,0.996582,-0.119995,1.174927,2.365112,0.762939
0.001256,0.012085,0.996826,-0.118042,-0.782013,-1.972198,-1.148224
0.001786,0.018311,0.992065,-0.118896,-1.956940,-1.579285,-1.911163
0.001993,0.012573,0.994751,-0.120239,2.349854,-1.186371,-1.911163
0.002138,0.006104,0.990601,-0.117310,-0.392914,1.182556,-0.385284
0.002284,0.013672,0.993286,-0.118286,1.174927,-0.789642,0.762939
0.002432,0.016357,0.993774,-0.119507,-1.564026,1.575470,0.000000
0.002579,0.014893,0.992798,-0.116455,0.392914,-0.789642,0.381470
0.002726,0.010986,1.000000,-0.116943,-0.782013,-0.789642,-2.292633
0.002873,0.015625,0.998779,-0.118408,-0.782013,0.000000,0.762939
0.003019,0.021484,0.995605,-0.114868,-0.392914,-0.396729,0.762939
0.003305,0.021729,0.996704,-0.120850,-0.782013,0.392914,0.762939
0.003460,0.012451,0.997925,-0.115479,1.174927,-1.972198,-1.529694
0.003606,0.013306,0.999146,-0.113770,-0.782013,2.365112,1.144409
0.003751,0.017700,0.997559,-0.119507,0.392914,0.392914,-1.529694
0.003898,0.019897,0.996094,-0.117188,-1.564026,0.392914,0.762939
0.004045,0.018921,1.000610,-0.116211,0.392914,-3.154755,-1.529694
0.004192,0.015869,1.000244,-0.117310,-1.174927,1.182556,1.144409
0.004338,0.014404,1.000488,-0.118896,1.956940,-1.186371,-2.292633
0.004485,0.012939,0.999023,-0.115356,-0.782013,0.000000,1.144409
0.004633,0.014282,0.991943,-0.119873,0.782013,1.182556,-0.385284
0.004779,0.013672,0.992065,-0.118774,1.174927,0.000000,-0.385284
0.004926,0.012939,0.992920,-0.117554,-1.174927,-0.396729,-1.529694
0.005073,0.015747,0.988281,-0.122070,-1.174927,0.000000,1.144409
0.005220,0.013306,0.991211,-0.114624,1.956940,-1.579285,-2.674103
0.005367,0.012329,0.997559,-0.119629,-2.349854,-0.396729,1.144409
0.005514,0.016724,0.996338,-0.122803,1.956940,0.785828,-1.911163
0.005661,0.019653,1.000610,-0.122803,-1.956940,-0.396729,1.144409
0.005808,0.014038,0.998535,-0.121826,1.956940,1.968384,-0.385284
0.005955,0.017090,0.997070,-0.121216,-1.174927,-0.789642,0.381470
0.006102,0.011719,0.996704,-0.118286,0.392914,-1.972198,-3.437042
0.006249,0.009277,0.996826,-0.114014,-1.564026,2.365112,2.670288
0.006396,0.018799,0.998535,-0.120117,1.564026,-3.551483,-4.199982
0.006543,0.014648,1.000610,-0.121094,-0.392914,0.785828,2.288818
0.006690,0.013916,1.005737,-0.120361,-0.392914,1.182556,-1.148224
0.006837,0.011353,0.999023,-0.121094,0.782013,-0.789642,0.381470
0.006984,0.013306,0.996216,-0.119019,0.782013,0.392914,-1.529694
0.007131,0.018066,0.996094,-0.115723,0.000000,0.000000,0.762939
0.007278,0.014404,0.996094,-0.117554,-1.564026,-0.396729,-0.766754
0.007425,0.013062,0.997070,-0.118408,-2.349854,1.575470,-0.385284
0.007572,0.011841,0.987427,-0.119873,4.695892,-4.337311,-1.911163
0.007718,0.012329,0.987305,-0.124512,-3.520966,1.182556,2.288818
0.007866,0.015259,0.996094,-0.122314,2.738953,0.392914,-2.674103
